REF_NO,children,age_band,status,occupation,occupation_partner,home_status,family_income,self_employed,self_employed_partner,year_last_moved,TVarea,post_code,post_area,Average Credit Card Transaction,Balance Transfer,Term Deposit,Life Insurance,Medical Insurance,Average A/C Balance,Personal Loan,Investment in Mutual Fund,Investment Tax Saving Bond,Home Loan,Online Purchase Amount,Revenue Grid,gender,region,Investment in Commudity,Investment in Equity,Investment in Derivative,Portfolio Balance
5979,Zero,61-65,Partner,Retired,Retired,Own Home,"<27,500, >=25,000",No,No,1993,Central,HR6 9DB,HR6,0,0,0,0,54.98,0,0,33.98,0,6.96,0,2,Female,West Midlands,11,6.82,14.83,18.35
5980,1,22-25,Partner,Professional,Business Manager,Own Home,">=35,000",No,No,1998,Anglia,NR27 9BG,NR27,0,0,0,14.99,0,0,45.43,6,0,0,0,2,Female,East Anglia,3,8.57,11.07,15.54
5981,Zero,61-65,Partner,Retired,Retired,Own Home,"<25,000, >=22,500",No,No,1965,Scottish TV,KA20 4AF,KA20,0,159.91,24.49,114.95,4.99,29.99,20.49,31.48,0,9.99,0,2,Male,Scotland,60.87,15.33,33.65,84.28
5982,Zero,51-55,Partner,Secretarial/Admin,Manual Worker,Own Home,"<20,000, >=17,500",No,Yes,1991,Tyne Tees,NE33 5AT,NE33,0,24.99,0,45.48,0,78.94,0,34.96,0,0,0,2,Female,North,14.09,18.98,26.56,61.32
5983,3,26-30,Partner,Secretarial/Admin,Manual Worker,Own Home,"<15,000, >=12,500",No,No,1987,Meridian,L15 7UR,L15,0,29.99,35.99,0,14.99,0,78.44,0,0,0,0,2,Female,North West,16.19,13.07,15.57,-2.14
5984,Zero,55-60,Single/Never Married,Retired,Unknown,Own Home,"<25,000, >=22,500",No,No,1995,Central,B72 1BW,B72,0,17.49,0,36.98,0,44.47,46.96,25.47,25,0,29.49,2,Female,West Midlands,10.89,28.57,29.81,27.55
5985,2,36-40,Partner,Professional,Professional,Own Home,">=35,000",No,No,1986,Granada,CW12 3BN,CW12,0,0,39.99,0,19.99,0,0,29.48,0,0,0,2,Female,North West,12,4.91,8.25,-30.86
5986,1,71+,Widowed,Retired,Unknown,Rent from Council/HA,"< 8,000, >= 4,000",No,No,1996,Granada,LL18 3SF,LL18,54.48,0,67.98,0,19.99,45.96,41.46,140.88,4.49,0,9.49,2,Female,Wales,28.49,40.38,42.13,108.06
5988,2,36-40,Partner,Secretarial/Admin,Professional,Own Home,">=35,000",No,No,1982,Meridian,RG19 4GG,RG19,0,0,67.47,0,27.97,0,101.44,0,0,0,0,2,Female,South East,19.09,16.91,21.57,38.01
5989,Zero,65-70,Partner,Retired,Retired,Own Home,"<12,500, >=10,000",No,No,1986,Anglia,NN16 9QU,NN16,0,24.99,29.47,0.02,17.97,4.98,0,61.96,4.99,0,0,2,Female,East Midlands,14.49,11.99,14.99,11.63
5990,Zero,45-50,Partner,Housewife,Retired,Own Home,">=35,000",No,No,1976,Granada,PR4 3PP,PR4,118.98,114.97,113.44,165.43,51.45,112.9,111.41,112.91,19.46,0,0,2,Female,North West,112.85,59.45,95.59,274.11
5992,Zero,36-40,Single/Never Married,Professional,Manual Worker,Own Home,"<27,500, >=25,000",No,No,1992,Grampian,PH1 3NJ,PH1,10.48,119.94,49.48,198.87,23.97,34.94,0,100.9,0,0,29.99,2,Female,Scotland,80.55,27.64,59.78,120.73
5993,Zero,65-70,Widowed,Retired,Unknown,Own Home,"< 4,000",No,No,1985,Meridian,L35 5YF,L35,0,0,0,0,0,0,0,0,2.49,25.98,0,2,Female,North West,0,4.75,0.42,-19.31
5995,1,45-50,Partner,Business Manager,Professional,Own Home,">=35,000",No,No,1991,Anglia,MK3 7UW,MK3,0,29.99,14.99,257.87,7.98,16.48,52.96,0,19.95,11.97,0,1,Female,South East,62.17,16.89,59.21,177.41
5996,2,36-40,Divorced/Separated,Secretarial/Admin,Unknown,Rent Privately,"<20,000, >=17,500",No,No,1996,Central,LE16 8DU,LE16,0,0,0,24.58,0,0,0,58.41,0,0,0,2,Female,East Midlands,4.92,9.74,13.83,56.43
5997,3,36-40,Partner,Manual Worker,Housewife,Own Home,"<22,500, >=20,000",No,No,1995,Carlton,KT19 8JJ,KT19,0,12.48,0,7.49,0,5.49,95.45,0,0.5,0,0,2,Male,South East,3.99,16.91,18.16,45.58
5998,Zero,55-60,Widowed,Retired,Unknown,Own Home,"<30,000, >=27,500",No,No,1981,Anglia,LU7 7QQ,LU7,0,10.02,22.47,34.96,0,70.42,27.46,27.94,0,16.45,52.98,2,Female,South East,13.49,32.54,26.8,77.56
5999,Zero,71+,Partner,Retired,Retired,Own Home,"<15,000, >=12,500",No,No,1977,Central,SY3 0NW,SY3,16.48,129.97,0,0.01,15.99,9.48,0,33.97,0,0,15.99,2,Male,West Midlands,32.49,9.91,9.91,40.09
6000,Zero,45-50,Partner,Retired,Other,Own Home,"<22,500, >=20,000",No,No,1981,Granada,L23 7UY,L23,0,192.88,0,190.85,11.98,44.98,87.88,23.48,31.93,0,0,2,Male,North West,79.14,31.38,65.18,161.1
6001,1,61-65,Partner,Retired,Retired,Own Home,"<12,500, >=10,000",No,No,1958,Yorkshire,S43 3YA,S43,0,17.47,0,0.51,0,9.98,2.99,57.95,0,0,0,2,Female,East Midlands,3.6,11.82,11.91,2.82
6002,2,41-45,Partner,Professional,Professional,Own Home,">=35,000",No,No,1971,Meridian,RG18 3AY,RG18,56.98,168.94,31.98,59.47,34.98,11.97,75.93,246.36,4.49,0,90.93,2,Male,South East,70.47,71.61,72.2,181.27
6004,Zero,55-60,Partner,Retired,Unknown,Own Home,"<20,000, >=17,500",No,Yes,1966,Central,LE11 3RP,LE11,0,0.01,14.99,14.49,33.48,46.7,0,66.93,0,11.98,0,2,Male,East Midlands,12.59,20.94,26.93,32.84
6005,Zero,45-50,Partner,Secretarial/Admin,Business Manager,Own Home,"<30,000, >=27,500",No,No,1973,Carlton,M16 6DJ,M16,0,67.46,29.98,173.38,55.94,73.4,10.99,119.86,11.96,15.97,4.99,2,Female,North West,65.35,39.53,74.26,174.05
6006,Zero,45-50,Partner,Secretarial/Admin,Professional,Rent from Council/HA,"<17,500, >=15,000",No,No,1972,Tyne Tees,NE11 9UR,NE11,102.95,89.98,29.99,193.38,0,70.97,0,38.98,0,5.99,55.97,1,Female,North,83.26,28.65,50.56,191.32
6007,Zero,18-21,Single/Never Married,Other,Manual Worker,Live in Parental Hom,"<25,000, >=22,500",No,No,1981,Carlton,WA7 2JE,WA7,0,0,108.94,0,27.96,0,0,41.47,0,0,0,2,Female,North West,27.38,6.91,11.57,47.75
6008,Zero,51-55,Partner,Housewife,Manual Worker,Rent from Council/HA,"<12,500, >=10,000",No,No,1968,Scottish TV,FK3 0AX,FK3,0,134.47,0,29.99,0,0,0,0,0,0,0,2,Female,Scotland,32.89,0,5,42.41
6009,Zero,61-65,Partner,Retired,Retired,Own Home,"<17,500, >=15,000",No,No,1981,Scottish TV,G46 7AS,G46,0,52.98,0,17.98,9.99,78.91,0,19.98,0,0,0,2,Female,Scotland,16.19,16.48,21.14,29.17
6011,Zero,51-55,Partner,Retired,Professional,Own Home,">=35,000",No,No,1989,Carlton,SS9 2QU,SS9,0,0,69.47,154.91,9.99,2.99,0.01,41.97,0,0,0,2,Female,South East,46.87,7.5,34.98,70.75
6012,2,45-50,Partner,Unknown,Unknown,Own Home,"<22,500, >=20,000",No,No,1979,Central,PE9 2XS,PE9,0,35,0,80,0,0,0,0,0,0,0,2,Male,East Midlands,23,0,13.33,20.35
6013,1,26-30,Partner,Housewife,Secretarial/Admin,Own Home,"<22,500, >=20,000",No,No,1990,Ulster,BT67 0SU,BT67,0,0,15.99,29.49,0,65.46,41.46,67.95,9.48,0,0,2,Female,Northern Ireland,9.1,30.73,35.64,103.92
6014,2,41-45,Partner,Secretarial/Admin,Business Manager,Own Home,">=35,000",No,No,1986,Yorkshire,S81 8DP,S81,0,0,9.99,0,2.5,0,0,33.96,0,0,0,2,Female,East Midlands,2.5,5.66,6.08,28.09
6015,Zero,45-50,Partner,Housewife,Business Manager,Own Home,"<30,000, >=27,500",No,No,1988,Carlton,M2 7TE,M2,4.99,0,0.01,74.47,0,14.96,0,72.41,8.49,36.91,9.99,2,Female,North West,15.89,23.79,28.39,87.24
6016,Zero,55-60,Partner,Retired,Retired,Own Home,">=35,000",No,Yes,1991,Meridian,SP3 4RY,SP3,152.95,88.99,152.93,139.44,34.49,29.49,0,13.99,0,0,0,2,Male,South West,113.76,7.25,36.24,140.1
6018,2,41-45,Single/Never Married,Business Manager,Unknown,Own Home,"<27,500, >=25,000",No,Yes,1994,Central,LE7 3FR,LE7,0,0,0,0,0,0,0,0,0,0,11.99,2,Female,East Midlands,0,2,0,17.64
6019,1,31-35,Partner,Secretarial/Admin,Professional,Own Home,"<30,000, >=27,500",No,No,1995,Central,PE10 9AH,PE10,109.47,27.99,9.46,20.46,12.98,18.48,134.08,14.48,1.1,3.48,0,2,Female,East Midlands,36.07,28.6,33.6,102.64
6020,3,36-40,Partner,Housewife,Manual Worker,Own Home,"<22,500, >=20,000",Yes,No,1993,Yorkshire,YO21 3ED,YO21,15.99,78.93,53.98,138.33,19.98,129.3,0,112.32,29.98,1.79,35.47,2,Female,Unknown,61.44,51.48,71.65,231.9
6021,Zero,65-70,Partner,Retired,Unknown,Own Home,"<15,000, >=12,500",No,No,1953,Unknown,CH60 7SD,CH60,0,0.01,0,3.98,0,29.99,0,25.98,0,1.49,0,2,Male,Unknown,0.8,9.58,9.99,14.57
6022,Zero,65-70,Partner,Housewife,Retired,Own Home,"<17,500, >=15,000",No,No,1971,Central,WR11 5HB,WR11,0,0,0,11.99,0,0,0,0,0,27.46,0,2,Female,West Midlands,2.4,4.58,2,94.72
6023,1,51-55,Partner,Business Manager,Business Manager,Own Home,"<25,000, >=22,500",Yes,Yes,1989,Scottish TV,ML12 6JU,ML12,121.44,0,0,40.93,46.45,12.98,37.94,116.37,2.49,0,0,1,Female,Scotland,41.76,28.3,42.86,129.93
6024,Zero,31-35,Partner,Secretarial/Admin,Secretarial/Admin,Own Home,"<27,500, >=25,000",No,No,1988,HTV,SN4 8JW,SN4,18.98,0,136.91,22.52,0.51,0,0,0.01,0,0.99,0,2,Female,South West,35.78,0.17,3.84,56.64
6025,1,41-45,Partner,Housewife,Professional,Own Home,">=35,000",Yes,Yes,1992,Granada,PR9 7LP,PR9,0,0.01,0,27.49,0,0,0,35.47,0,0,0,2,Female,North West,5.5,5.91,10.49,33.55
6026,2,36-40,Partner,Professional,Business Manager,Own Home,">=35,000",No,No,1989,Scottish TV,G46 7EL,G46,49.98,0,21.99,11.49,0,0,8.49,35,19.49,0,9.59,2,Female,Scotland,16.69,12.1,12.41,26.26
6028,Zero,51-55,Partner,Professional,Professional,Own Home,">=35,000",No,No,1975,Carlton,CR2 0DY,CR2,0,0,0,0,0,26.98,0,21.48,0,0,0,2,Female,South East,0,8.08,8.08,-33.11
6029,Zero,55-60,Partner,Secretarial/Admin,Retired,Own Home,"<20,000, >=17,500",No,No,1964,Tyne Tees,TS7 0AN,TS7,27.47,0,0,0,0,28.99,0,15.48,3.3,0,10.49,2,Female,North,5.49,9.71,7.96,54.64
6030,1,26-30,Partner,Housewife,Professional,Own Home,"<27,500, >=25,000",No,No,1994,Anglia,PE6 9QL,PE6,67.99,21.47,31.98,133.88,0,53.96,26.49,13.97,3.99,0,2.49,2,Female,East Anglia,51.06,16.82,38.72,89.24
6032,2,31-35,Partner,Housewife,Professional,Own Home,"<30,000, >=27,500",No,No,1997,Central,CV8 2GQ,CV8,84.99,0,0,0,0,0,0,0,0,0,0,2,Female,West Midlands,17,0,0,35.73
6033,Zero,55-60,Single/Never Married,Retired,Unknown,Rent Privately,"<10,000, >= 8,000",No,No,1992,Meridian,SO41 0RU,SO41,0,69.49,0,0,11.98,24.99,0,11.99,0,15.98,36.97,2,Female,South East,16.29,14.99,8.16,40.53
6034,Zero,41-45,Single/Never Married,Professional,Unknown,Own Home,"<30,000, >=27,500",No,No,1987,Central,LE8 5PU,LE8,0,24.49,0,33.97,0,151.93,270.79,32.97,29.95,0,0,2,Male,East Midlands,11.69,80.94,86.6,185.81
6035,2,36-40,Partner,Housewife,Manual Worker,Own Home,"<17,500, >=15,000",No,No,1978,Border,TD5 7NF,TD5,0,0,0,0,0,7.99,0,0,0,16.77,0,2,Female,Scotland,0,4.13,1.33,18.3
6036,Zero,41-45,Single/Never Married,Secretarial/Admin,Professional,Own Home,">=35,000",No,Yes,1997,Anglia,MK13 7UE,MK13,0,24.99,0,71.46,0,59.48,0,17.48,0,1.99,1,2,Female,South East,19.29,13.33,24.74,52.9
6037,Zero,31-35,Single/Never Married,Business Manager,Manual Worker,Own Home,">=35,000",No,No,1997,Granada,CH8 8DL,CH8,0,205.36,0,160.39,0,58.95,0,196.29,0,7.99,0,2,Male,Wales,73.15,43.87,69.27,222.8
6038,3,26-30,Partner,Housewife,Business Manager,Own Home,"<27,500, >=25,000",No,No,1992,Yorkshire,S40 3DD,S40,0,0,0,0,0,2.99,11.99,25.47,0,0,0,2,Female,East Midlands,0,6.74,6.74,19.62
6039,Zero,45-50,Partner,Retired,Retired,Own Home,"<10,000, >= 8,000",No,No,1996,Central,NG32 2EB,NG32,0,24.49,0,0,0,0,74.44,26.98,0,4.99,0,2,Female,East Midlands,4.9,17.74,16.9,52.81
6040,Zero,65-70,Partner,Retired,Retired,Own Home,"< 8,000, >= 4,000",No,No,1977,Granada,L26 0XQ,L26,19.99,0,0,25.49,0,4.48,0,0,9.49,0,0,2,Female,North West,9.1,2.33,6.58,-5.09
6041,Zero,71+,Widowed,Retired,Unknown,Own Home,"<12,500, >=10,000",No,No,1995,Carlton,HA4 7TH,HA4,34.49,155.95,99.46,250.88,51.97,248.93,423.68,66.44,0,0,0,2,Female,South East,118.55,123.18,173.65,438.18
6042,Zero,51-55,Partner,Unknown,Unknown,Own Home,"<15,000, >=12,500",No,No,1966,Granada,LA14 3SG,LA14,14.99,27.47,11.99,30.42,0.01,0,19.93,68.43,1,0,0,2,Female,North,16.98,14.89,19.97,18.36
6043,2,41-45,Single/Never Married,Secretarial/Admin,Professional,Own Home,"<27,500, >=25,000",No,No,1998,Meridian,SO30 3SE,SO30,0,0,0,27.99,0,24.99,0,0,0,0,0,2,Female,South East,5.6,4.17,8.83,26.87
6044,Zero,65-70,Partner,Retired,Retired,Own Home,"<12,500, >=10,000",No,No,1986,Central,ST15 0BQ,ST15,76.46,58.47,78.97,31.47,24.96,0,0,21.48,0,0,75.45,2,Female,West Midlands,54.07,16.16,12.99,106.41
6045,Zero,31-35,Single/Never Married,Professional,Unknown,Own Home,">=35,000",No,No,1990,Meridian,M12 5FL,M12,24.99,125.96,0,15.96,0,49.98,52.45,46.12,1,0,0,2,Male,North West,33.38,24.93,27.59,63.02
6046,Zero,65-70,Widowed,Retired,Unknown,Own Home,"< 8,000, >= 4,000",No,No,1959,Yorkshire,S43 3DA,S43,7.98,0,53.46,153.89,45.49,53.94,0,11.99,0,2.99,0,2,Female,East Midlands,52.16,11.49,44.22,145.66
6047,1,31-35,Partner,Secretarial/Admin,Secretarial/Admin,Own Home,">=35,000",No,No,1997,Carlton,IG1 2JX,IG1,31.48,0.01,0.51,153.42,144.78,9.99,74.46,106.37,1.49,8.48,3.99,2,Female,South East,66.04,34.13,81.75,245.83
6048,Zero,71+,Widowed,Retired,Unknown,Own Home,"<17,500, >=15,000",No,No,1948,Carlton,TW19 5JA,TW19,0,168.97,0,49.47,19.49,0,0,39.98,0,0,8.98,2,Female,South East,47.59,8.16,18.16,77.97
6049,Zero,51-55,Partner,Professional,Secretarial/Admin,Own Home,"<27,500, >=25,000",No,No,1968,Yorkshire,WF14 9SZ,WF14,93.96,39.98,0.51,0,77.53,3.99,17.99,99.92,49.99,0,0,1,Female,Unknown,42.4,28.65,41.57,109.38
6050,Zero,65-70,Widowed,Retired,Unknown,Own Home,"<17,500, >=15,000",No,No,1987,Meridian,M51 0JQ,M51,25.98,0,0,0,0.01,29.99,0.01,48.96,0,0,0,2,Female,North West,5.2,13.16,13.16,74.47
6052,Zero,31-35,Single/Never Married,Professional,Unknown,Own Home,"<15,000, >=12,500",No,No,1985,Grampian,PH12 8UE,PH12,0,0,0,0,0,0,0,13.49,0,0,0,2,Male,Scotland,0,2.25,2.25,-11.6
6053,Zero,41-45,Partner,Professional,Professional,Own Home,"<27,500, >=25,000",Yes,No,1996,Yorkshire,BD23 3PW,BD23,0,0,0,0,0,0,13.98,33.97,10.47,9.48,151.43,1,Male,Unknown,0,36.56,9.74,94.51
6054,1,26-30,Single/Never Married,Professional,Business Manager,Own Home,">=35,000",No,No,1994,Yorkshire,S80 1YB,S80,28.97,153.46,0,118.43,10.49,11.49,31.97,35.97,26.47,0,28.98,2,Female,East Midlands,62.27,22.48,39.14,124.67
6055,Zero,31-35,Partner,Professional,Professional,Own Home,">=35,000",No,No,1996,Meridian,L9 7BN,L9,0,75,0,0,0,0,0,0,0,0,0,2,Female,North West,15,0,0,-18.8
6056,Zero,51-55,Partner,Retired,Professional,Own Home,"<12,500, >=10,000",No,No,1982,Central,DY7 6RS,DY7,0.01,69.98,0,13.48,0.02,17.49,0,0,0,0,0,2,Female,West Midlands,16.7,2.92,5.17,56.26
6057,Zero,31-35,Partner,Secretarial/Admin,Secretarial/Admin,Own Home,">=35,000",No,No,1986,Carlton,E13 0BQ,E13,84.99,0,84.99,0,0,0,0,0,0,0,0,2,Female,South East,34,0,0,29.64
6059,2,31-35,Partner,Secretarial/Admin,Professional,Own Home,">=35,000",No,No,1998,Central,CV8 2SW,CV8,0,0,0,11.99,0,11.99,168.29,61.95,0,0,0,2,Female,West Midlands,2.4,40.37,42.37,50.33
6060,Zero,41-45,Partner,Unknown,Professional,Own Home,">=35,000",Yes,No,1993,Yorkshire,S26 4UN,S26,0,0,0,0,9.99,0,201.87,21.48,29.49,0,0,2,Female,Unknown,2,42.14,43.81,54.72
6061,Zero,45-50,Partner,Other,Manual Worker,Own Home,"<27,500, >=25,000",No,No,1981,Grampian,PH14 9TQ,PH14,21.49,39.99,14.48,24,0,29.49,14.49,23.48,9.99,0,0,2,Female,Scotland,19.99,12.91,16.91,-5.54
6062,2,36-40,Divorced/Separated,Secretarial/Admin,Unknown,Own Home,"<20,000, >=17,500",Yes,No,1989,Scottish TV,ML3 9XB,ML3,0,50.48,119.96,36.95,0,0,0,0,0,0,3.99,2,Female,Scotland,41.48,0.67,6.16,63.3
6063,Zero,26-30,Partner,Student,Professional,Own Home,">=35,000",No,Yes,1909,Tyne Tees,TS9 6HJ,TS9,0,0,0,0,9.99,0,0,6.02,0,0,0,2,Female,North,2,1,2.67,8.64
6066,Zero,51-55,Divorced/Separated,Business Manager,Unknown,Own Home,"<20,000, >=17,500",No,No,1994,HTV,BS34 6RW,BS34,0,0,29.99,0,15.49,0,0,0,0,0,0,2,Female,South West,9.1,0,2.58,23.32
6067,Zero,55-60,Partner,Housewife,Retired,Own Home,"<22,500, >=20,000",No,No,1975,Tyne Tees,TS10 3RD,TS10,0,187.37,0,127.34,0.01,40.44,28.97,11.49,12.48,25.21,5.49,2,Female,North,62.94,20.68,36.79,123.82
6068,Zero,51-55,Partner,Professional,Business Manager,Own Home,">=35,000",No,No,1997,Yorkshire,LS22 5BY,LS22,53.47,247.43,0,143.41,17.02,7.03,0,192.34,4.49,7.99,12.46,2,Female,Unknown,92.27,37.39,60.72,183.32
6070,Zero,36-40,Single/Never Married,Professional,Unknown,Own Home,"<20,000, >=17,500",No,No,1998,Meridian,DT11 0HW,DT11,0,0,0,71.97,0,0,0,0,0,0,24.99,2,Female,South West,14.39,4.17,12,52.49
6072,Zero,45-50,Partner,Other,Other,Rent from Council/HA,"<10,000, >= 8,000",No,No,1982,Tyne Tees,NE10 8DR,NE10,592.36,0,92.96,0,126.41,0,0,0,0,0,878.49,1,Female,North,162.35,146.42,21.07,318.12
6073,Zero,41-45,Partner,Professional,Business Manager,Own Home,"<27,500, >=25,000",Yes,Yes,1987,Yorkshire,HU16 5RD,HU16,0,0,0,0,0,29.45,102.44,0,0,0,2.99,2,Female,Unknown,0,22.48,21.98,13.98
6074,2,45-50,Partner,Business Manager,Professional,Own Home,"<30,000, >=27,500",No,No,1989,Scottish TV,FK5 4TN,FK5,19.99,22.49,0,105.94,29.06,54.97,224.85,84.99,0,2.99,0,2,Male,Scotland,35.5,61.3,83.3,198.57
6076,Zero,45-50,Partner,Retired,Retired,Own Home,"<27,500, >=25,000",Yes,No,1989,HTV,TA1 5PB,TA1,0,30.98,0,38.47,9.49,19.99,31.97,0,2,5.49,0,2,Male,South West,15.79,9.91,16.99,-4.43
6077,Zero,61-65,Partner,Business Manager,Other,Own Home,"<25,000, >=22,500",No,No,1960,Carlton,GU18 5TR,GU18,0,0,0,57.47,19.99,17.99,15.99,39.97,0,0,0,2,Male,South East,15.49,12.33,25.24,88.65
6079,2,26-30,Single/Never Married,Secretarial/Admin,Business Manager,Own Home,"<25,000, >=22,500",No,No,1996,Central,LE5 1SZ,LE5,133.94,242.93,142.92,302.86,137.88,38.46,0,307.32,0,0,0,2,Female,East Midlands,192.11,57.63,131.09,370.83
6080,Zero,61-65,Partner,Retired,Housewife,Own Home,"<22,500, >=20,000",No,No,1988,Central,DE7 6JN,DE7,0,0.52,13.98,14.46,0,13.97,0,27.47,0,0,0,2,Male,East Midlands,5.79,6.91,9.32,39.58
6081,Zero,31-35,Partner,Professional,Professional,Own Home,">=35,000",No,Yes,1990,Anglia,CB10 2ST,CB10,7.99,0,0,74.47,61.96,23.97,0,23.49,9.99,0,0,2,Female,South East,28.88,9.58,32.31,58.49
6082,Zero,36-40,Partner,Professional,Manual Worker,Own Home,"<15,000, >=12,500",No,No,1985,Meridian,PO13 0DU,PO13,130.94,207.41,134.46,72.98,108.92,28.49,0,58.94,0,4.99,191.45,1,Female,South East,130.94,47.31,44.89,299.62
6083,2,26-30,Divorced/Separated,Secretarial/Admin,Unknown,Own Home,"<17,500, >=15,000",No,No,1998,Grampian,AB15 8DY,AB15,0,64.48,79.97,297.83,41.4,277.86,276.31,201.33,65.77,65.58,143.37,2,Female,Scotland,96.74,171.7,193.42,461.18
6084,2,41-45,Partner,Business Manager,Professional,Own Home,">=35,000",No,No,1993,Carlton,CR4 4LU,CR4,9.99,0,19.99,33.47,29.98,0,80.95,14.99,0,0,0,2,Female,South East,18.69,15.99,26.57,66.44
6085,Zero,65-70,Partner,Retired,Retired,Own Home,"<17,500, >=15,000",No,No,1995,HTV,SN15 1DF,SN15,0,0,34.99,0,0,0,0,0,0,0,0,2,Female,South West,7,0,0,34.76
6086,3,55-60,Widowed,Retired,Unknown,Own Home,"<12,500, >=10,000",No,No,1996,Meridian,SP11 8HZ,SP11,0,0,15.99,27.49,0,5.49,57.96,29.97,0,0,0,2,Female,South East,8.7,15.57,20.15,42.56
6088,3,31-35,Partner,Other,Manual Worker,Own Home,"<17,500, >=15,000",No,No,1987,Carlton,AL2 1LN,AL2,0,30.98,0,89.94,0,0,36.97,0,0,0,0,2,Female,South East,24.18,6.16,21.15,108.59
6089,Zero,61-65,Widowed,Professional,Unknown,Own Home,"<27,500, >=25,000",Yes,Yes,1965,Grampian,AB41 6AQ,AB41,0,0,0,14.49,0,32.48,0,213.34,0,8.46,0,2,Female,Scotland,2.9,42.38,43.39,149.05
6090,Zero,36-40,Single/Never Married,Secretarial/Admin,Unknown,Own Home,"<12,500, >=10,000",No,No,1992,Yorkshire,WF10 2AT,WF10,0,0,0,0,0,72.47,0,52.46,19.46,0,109.89,1,Female,Unknown,0,42.38,24.07,89.97
6091,1,55-60,Divorced/Separated,Housewife,Unknown,Own Home,"<12,500, >=10,000",No,No,1970,Yorkshire,BD2 3RE,BD2,0,0.01,0,43.93,0,0,0,0,0,0,0,2,Female,Unknown,8.79,0,7.32,30.36
6092,Zero,51-55,Partner,Professional,Professional,Own Home,">=35,000",No,No,1982,Central,SY4 3NT,SY4,0,0,0,0,0,0,5.99,0,17.98,0,0,2,Female,West Midlands,0,4,4,-29.31
6093,Zero,55-60,Partner,Retired,Retired,Own Home,"<27,500, >=25,000",No,No,1998,Ulster,BT53 7BZ,BT53,63.97,0.01,0,139.39,39.99,29.99,0,13.99,0,0,39.49,2,Male,Northern Ireland,48.67,13.91,37.23,39.31
6094,Zero,41-45,Single/Never Married,Other,Unknown,Own Home,"< 4,000",No,No,1969,Meridian,TN11 0EN,TN11,43.47,256.41,80.44,143.38,101.36,136.9,28.98,133.4,34.98,12.96,15.46,2,Male,South East,125.01,60.45,96.5,271.5
6095,Zero,65-70,Widowed,Retired,Unknown,Own Home,Unknown,No,No,0,Granada,PR9 9FD,PR9,0,0,0,0,0,0,0,19.49,0,0,0,2,Female,North West,0,3.25,3.25,55.31
6096,Zero,61-65,Widowed,Business Manager,Business Manager,Own Home,">=35,000",Yes,No,1970,Anglia,NR10 5NU,NR10,0,0,0,0,0,29.49,0,0,0,0,0,2,Male,East Anglia,0,4.92,4.92,-18.4
6097,3,31-35,Partner,Secretarial/Admin,Business Manager,Own Home,">=35,000",No,No,1996,HTV,SN15 3UR,SN15,0,0,0,0,0,13.48,69.44,0,1.99,3.49,7.98,2,Female,South West,0,16.06,14.15,21.87
6098,Zero,51-55,Partner,Secretarial/Admin,Professional,Own Home,">=35,000",No,No,1971,Central,SN6 6BP,SN6,0,70.46,207.36,393.17,151.44,91.39,108.9,220.81,8.47,26.97,65.92,2,Female,South West,164.49,87.08,162.36,394.78
6099,2,36-40,Partner,Business Manager,Housewife,Own Home,">=35,000",No,No,1987,Meridian,L45 2HY,L45,9.99,0,34.98,25.99,47.02,28.47,178.87,71.43,18.96,0,0,2,Male,North West,23.6,49.62,61.79,139.23
6100,1,31-35,Single/Never Married,Student,Unknown,Rent from Council/HA,"< 4,000",No,No,1992,Anglia,CO15 1EH,CO15,0,153.96,69.99,79.47,0,48.99,0,33.47,0,0,0,2,Female,South East,60.68,13.74,26.99,94.17
6103,Zero,41-45,Partner,Housewife,Manual Worker,Live in Parental Hom,"<17,500, >=15,000",No,Yes,1973,Anglia,CO4 5NJ,CO4,0,0,0,55.47,29.99,14.98,15.99,35.48,0,19.98,0,2,Female,South East,17.09,14.41,25.32,35.36
6104,2,41-45,Partner,Manual Worker,Manual Worker,Rent from Council/HA,"<17,500, >=15,000",No,No,1987,Tyne Tees,DL5 4BE,DL5,0,0,0,0,15.98,51.41,0,11.98,0,0,0,2,Male,North,3.2,10.57,13.23,-1.33
6105,Zero,61-65,Partner,Retired,Retired,Own Home,"<10,000, >= 8,000",No,No,1962,Anglia,MK13 0BE,MK13,0,0,0,0,16.47,15,0,0,0,0,0,2,Male,South East,3.29,2.5,5.25,57.5
6106,1,41-45,Partner,Professional,Housewife,Own Home,"<27,500, >=25,000",No,No,1989,Central,NG24 3AS,NG24,0,0,0,0,0,0,8.49,0,8.47,0,12.99,2,Male,East Midlands,0,4.99,2.83,46.66
6107,Zero,61-65,Partner,Retired,Retired,Own Home,"<12,500, >=10,000",No,No,1954,Meridian,RG42 1TT,RG42,0,73.45,0,51.47,9.99,42.97,14.97,56.42,0,8.47,0,2,Female,South East,26.98,20.47,29.3,127.67
6108,2,26-30,Partner,Professional,Manual Worker,Own Home,"<20,000, >=17,500",No,No,1994,Anglia,IP31 3PS,IP31,79.19,0,98.99,0,31.48,17.99,22.99,0,0,0,0,2,Male,East Anglia,41.93,6.83,12.08,98.62
6109,Zero,65-70,Widowed,Retired,Unknown,Rent Privately,"< 4,000",No,No,1951,Central,B75 7ED,B75,19.99,0,11.99,0,53.93,0,0,0,0,0,0,2,Female,West Midlands,17.18,0,8.99,7.22
